name,x,y
Albedo,-4.978586,1.9483583
Amber,-5.272976,0.18101674
Arataki Itto,-6.1406116,0.31956452
Barbara,-6.1298885,-0.335728
Beidou,-6.760777,-0.4552225
Bennett,-4.1478257,0.25802
Chongyun,-4.8277407,1.1882776
Diluc,-4.594843,1.10656
Diona,-5.577511,-1.0582899
Eula,-4.8106284,2.068934
Fischl,-5.1217623,1.0488427
Ganyu,-5.437196,2.9360852
Gorou,-4.6874166,1.3827881
Hu Tao,-6.739699,0.49667388
Jean,-5.0556364,0.26167664
Kaedehara Kazuha,-5.6648436,-0.13477169
Kaeya,-6.2400613,-0.68543124
Kamisato Ayaka,-5.5904794,1.7747873
Kamisato Ayato,-4.1438327,1.66196
Keqing,-4.917674,0.4659706
Klee,-5.798381,0.22869012
Kujou Sara,-4.579032,-0.6037844
Lisa,-5.8902974,2.123025
Mona,-5.167292,-0.6074942
Ningguang,-5.916478,1.0566343
Noelle,-5.9133415,2.4781582
Qiqi,-5.003962,2.025183
Raiden Shogun,-4.8217225,1.2740688
Razor,-5.191923,-1.2912235
Rosaria,-5.2661686,-1.1721021
Sangonomiya Kokomi,-3.9739406,1.2589273
Sayu,-4.036314,0.75240016
Shenhe,-5.2723045,0.11004387
Sucrose,-4.664927,1.645252
Tartaglia,-5.425605,-0.4709975
Thoma,-5.0531077,-0.6665469
Venti,-6.3865547,1.2063303
Xiangling,-6.2672505,-0.22595955
Xiao,-5.5910144,1.1204288
Xingqiu,-5.850351,1.220908
Xinyan,-6.214403,-1.1209236
Yae Miko,-4.514466,0.27284408
Yanfei,-4.752908,0.40318006
Yelan,-6.1486163,-0.6241157
Yoimiya,-4.9028683,1.1053041
Yun Jin,-5.642353,-0.6106139
Zhongli,-3.632831,0.77479213
