,Source,Target,Similarity
0,Fragrant Almond Tofu,Fragrant Almond Tofu,0.9999999999999999
1,Fragrant Almond Tofu,Fragrant Bamboo Shoot Soup,-0.14350946197048195
2,Fragrant Almond Tofu,Fragrant Black-Back Perch Stew,-0.34782608695652184
3,Fragrant Almond Tofu,Fragrant Crab Roe Tofu,0.12573892269238632
4,Fragrant Almond Tofu,Fragrant Golden Crab,-0.16718346377260587
5,Fragrant Almond Tofu,Fragrant Golden Shrimp Balls,0.2514778453847726
6,Fragrant Almond Tofu,Fragrant Grilled Tiger Fish,-0.04914731871829904
7,Fragrant Almond Tofu,Fragrant Jewelry Soup,0.1042572070285374
8,Fragrant Almond Tofu,Fragrant Lotus Flower Crisp,0.6527533657682196
9,Fragrant Almond Tofu,Fragrant Mora Meat,-0.23918243661746993
10,Fragrant Almond Tofu,Fragrant Noodles with Mountain Delicacies,-0.3768673314407158
11,Fragrant Almond Tofu,Fragrant Qingce Stir Fry,-0.26919095102908275
12,Fragrant Almond Tofu,Fragrant Rice Buns,0.1517165212272521
13,Fragrant Almond Tofu,Fragrant Stir-Fried Filet,-0.40009880202694836
14,Fragrant Almond Tofu,Fragrant Stir-Fried Fish Noodles,-0.17349447958987207
15,Fragrant Almond Tofu,Fragrant Stir-Fried Shrimp,0.33436692754521175
16,Fragrant Almond Tofu,Fragrant Triple-Layered Consommé,0.12038585308576923
17,Fragrant Almond Tofu,Fragrant Universal Peace,0.42562826537937426
18,Fragrant Almond Tofu,Fragrant Vegetarian Abalone,0.05783149319662403
19,Fragrant Bamboo Shoot Soup,Fragrant Almond Tofu,-0.14350946197048195
20,Fragrant Bamboo Shoot Soup,Fragrant Bamboo Shoot Soup,0.9999999999999993
21,Fragrant Bamboo Shoot Soup,Fragrant Black-Back Perch Stew,0.14350946197048195
22,Fragrant Bamboo Shoot Soup,Fragrant Crab Roe Tofu,0.13834289277321493
23,Fragrant Bamboo Shoot Soup,Fragrant Golden Crab,0.24525573579398632
24,Fragrant Bamboo Shoot Soup,Fragrant Golden Shrimp Balls,0.1383428927732149
25,Fragrant Bamboo Shoot Soup,Fragrant Grilled Tiger Fish,0.16222142113076254
26,Fragrant Bamboo Shoot Soup,Fragrant Jewelry Soup,-0.1720618004029213
27,Fragrant Bamboo Shoot Soup,Fragrant Lotus Flower Crisp,-0.0512989176042577
28,Fragrant Bamboo Shoot Soup,Fragrant Mint Salad,-0.09567297464698797
29,Fragrant Bamboo Shoot Soup,Fragrant Mora Meat,0.36842105263157887
30,Fragrant Bamboo Shoot Soup,Fragrant Noodles with Mountain Delicacies,0.3554093266554553
31,Fragrant Bamboo Shoot Soup,Fragrant Qingce Stir Fry,-0.23693955110363688
32,Fragrant Bamboo Shoot Soup,Fragrant Stir-Fried Filet,0.2445579940222592
33,Fragrant Bamboo Shoot Soup,Fragrant Stir-Fried Fish Noodles,0.1908854288927333
34,Fragrant Bamboo Shoot Soup,Fragrant Stir-Fried Shrimp,0.12262786789699318
35,Fragrant Bamboo Shoot Soup,Fragrant Triple-Layered Consommé,0.33113308926626095
36,Fragrant Bamboo Shoot Soup,Fragrant Universal Peace,-0.1873171623163388
37,Fragrant Bamboo Shoot Soup,Fragrant Vegetarian Abalone,-0.31814238148788887
38,Fragrant Black-Back Perch Stew,Fragrant Almond Tofu,-0.34782608695652184
39,Fragrant Black-Back Perch Stew,Fragrant Bamboo Shoot Soup,0.14350946197048195
40,Fragrant Black-Back Perch Stew,Fragrant Black-Back Perch Stew,0.9999999999999999
41,Fragrant Black-Back Perch Stew,Fragrant Golden Crab,0.16718346377260587
42,Fragrant Black-Back Perch Stew,Fragrant Grilled Tiger Fish,0.34403123102809335
43,Fragrant Black-Back Perch Stew,Fragrant Jewelry Soup,-0.4170288281141495
44,Fragrant Black-Back Perch Stew,Fragrant Lotus Flower Crisp,-0.32637668288410987
45,Fragrant Black-Back Perch Stew,Fragrant Mint Salad,0.13043478260869568
46,Fragrant Black-Back Perch Stew,Fragrant Mora Meat,0.14350946197048195
47,Fragrant Black-Back Perch Stew,Fragrant Noodles with Mountain Delicacies,0.16151457061744964
48,Fragrant Black-Back Perch Stew,Fragrant Qingce Stir Fry,0.43070552164653236
49,Fragrant Black-Back Perch Stew,Fragrant Rice Buns,-0.35400521619692155
50,Fragrant Black-Back Perch Stew,Fragrant Stir-Fried Filet,0.6668313367115807
51,Fragrant Black-Back Perch Stew,Fragrant Stir-Fried Fish Noodles,0.34698895917974415
52,Fragrant Black-Back Perch Stew,Fragrant Triple-Layered Consommé,0.060192926542884606
53,Fragrant Black-Back Perch Stew,Fragrant Universal Peace,-0.5107539184552491
54,Fragrant Black-Back Perch Stew,Fragrant Vegetarian Abalone,-0.2313259727864961
55,Fragrant Crab Roe Tofu,Fragrant Almond Tofu,0.12573892269238632
56,Fragrant Crab Roe Tofu,Fragrant Bamboo Shoot Soup,0.13834289277321493
57,Fragrant Crab Roe Tofu,Fragrant Crab Roe Tofu,1.0000000000000002
58,Fragrant Crab Roe Tofu,Fragrant Golden Crab,0.08058229640253803
59,Fragrant Crab Roe Tofu,Fragrant Golden Shrimp Balls,0.3636363636363637
60,Fragrant Crab Roe Tofu,Fragrant Grilled Tiger Fish,-0.21320071635561047
61,Fragrant Crab Roe Tofu,Fragrant Jewelry Soup,0.22613350843332272
62,Fragrant Crab Roe Tofu,Fragrant Lotus Flower Crisp,0.0674199862463242
63,Fragrant Crab Roe Tofu,Fragrant Mint Salad,-0.18860838403857946
64,Fragrant Crab Roe Tofu,Fragrant Mora Meat,-0.06917144638660747
65,Fragrant Crab Roe Tofu,Fragrant Noodles with Mountain Delicacies,0.23354968324845687
66,Fragrant Crab Roe Tofu,Fragrant Qingce Stir Fry,-0.1556997888323046
67,Fragrant Crab Roe Tofu,Fragrant Rice Buns,-0.2193817272381392
68,Fragrant Crab Roe Tofu,Fragrant Stir-Fried Filet,-0.12856486930664499
69,Fragrant Crab Roe Tofu,Fragrant Stir-Fried Fish Noodles,0.25087260300212727
70,Fragrant Crab Roe Tofu,Fragrant Stir-Fried Shrimp,0.40291148201269017
71,Fragrant Crab Roe Tofu,Fragrant Triple-Layered Consommé,0.34815531191139576
72,Fragrant Crab Roe Tofu,Fragrant Universal Peace,0.061545745489666376
73,Fragrant Crab Roe Tofu,Fragrant Vegetarian Abalone,-0.08362420100070908
74,Fragrant Golden Crab,Fragrant Almond Tofu,-0.16718346377260587
75,Fragrant Golden Crab,Fragrant Bamboo Shoot Soup,0.24525573579398632
76,Fragrant Golden Crab,Fragrant Black-Back Perch Stew,0.16718346377260587
77,Fragrant Golden Crab,Fragrant Crab Roe Tofu,0.08058229640253803
78,Fragrant Golden Crab,Fragrant Golden Crab,0.9999999999999999
79,Fragrant Golden Crab,Fragrant Golden Shrimp Balls,0.3223291856101521
80,Fragrant Golden Crab,Fragrant Jewelry Soup,-0.1336306209562122
81,Fragrant Golden Crab,Fragrant Lotus Flower Crisp,-0.05976143046671968
82,Fragrant Golden Crab,Fragrant Mint Salad,-0.16718346377260587
83,Fragrant Golden Crab,Fragrant Mora Meat,0.24525573579398632
84,Fragrant Golden Crab,Fragrant Noodles with Mountain Delicacies,0.13801311186847084
85,Fragrant Golden Crab,Fragrant Qingce Stir Fry,-0.06900655593423542
86,Fragrant Golden Crab,Fragrant Rice Buns,-0.25928148942086576
87,Fragrant Golden Crab,Fragrant Stir-Fried Filet,0.11396057645963795
