,Source,Target,Text,Label,Score,Sentiment
0,A Merchant Whose Caravan Was Safely Escorted by Gaming,Gaming,"He sees and hears everything, as if he had the eyes of a hawk and the ears of a fox, like some kind of mythical beast. Fighting tooth and nail, he drove away bandits and ruffians like devils with all the auspicious momentum of the suanni.",POSITIVE,0.9721314907073975,0.9442629814147949
1,"A mysterious girl who calls herself ""The Stars' Blessing""",Layla,"She always says that she's overwhelmed writing her thesis and drawing star charts stresses her out, but she's more resilient than anyone, and refuses to fall behind... Why do I know her so well? Hehe...",POSITIVE,0.9981568455696106,0.9963136911392212
2,Albedo,Albedo,"
Genius? ...A number of people call me that. But I don't think I'm any ""genius.""

Relationships are... quite troublesome. Once you establish a relation with someone, you must continue to maintain it; if you lose contact, you must reestablish the relation. This taxing cycle requires a lot of time...

Have a question for me? Go ahead, ask. It doesn't take too long to ask a single question, does it? I'm about to begin the final stage of an experiment...

Oh, by the way. Did you know that without human manipulation, you would need to harness the power of a sun eight times the size of our own in order to naturally create gold?

The time required to sketch portraits closely correlates with one's mood. I could spend half a day sketching  Huffman  , while I might only need three strokes of the pencil to sketch  Kaeya  — one for the face, one for the eyepatch string... and one for the eyepatch.

What do I do besides sketching and research...? I will occasionally read novels from Inazuma and Liyue. They contain many fascinating ideas which can sometimes provide me with unexpected inspirations for my own creations.

Even now, I find the nigredo processing stage of alchemy passed down by my master to be full of mystery. What did my master want to create using this technique...? My research is far from over, I will require your help to investigate further.",NEGATIVE,0.9772117137908936,-0.9544234275817871
3,Albedo,Barbara,"
Barbara? She's a very earnest Deaconess. I once had the opportunity to sketch her a simple portrait... What happened to the sketch? Ah yes...  Albert  offered to purchase it, but I rejected his bid and gave it to the Acting Grand Master. Social relations... really require a lot of effort.",NEGATIVE,0.9627346396446228,-0.9254692792892456
4,Albedo,Jean,"
Jean? She has served exceptionally well as Acting Grand Master, one can even say she is more reliable than Grand Master Varka. Perhaps in our hearts, we all eagerly await the day she can become the official Grand Master herself.",POSITIVE,0.9996275901794434,0.9992551803588867
5,Albedo,Klee,"
Indeed, I view Klee as my younger sister. Whenever she gets herself into some explosive sort of trouble, I can only console myself with the fact that her current destructiveness is nothing compared to that of Miss Alice.",NEGATIVE,0.5018619894981384,-0.0037239789962768555
6,Albedo,Lisa,"
Lisa? I always am impressed by the valuable perspectives she brings to discussions. But is a person with her talents satisfied with such a basic occupation as librarian? There must be some hidden reason for this.",POSITIVE,0.7826070189476013,0.5652140378952026
7,Albedo,Rhinedottir,"
Family? Although  Alice  has always asked me to call her mother.... when I think of the idea of ""family,"" my  master  comes to mind first. My earliest memories in life are of going on adventures with her. She taught me the art of alchemy and much knowledge about the world. Perhaps... even the words ""family"" and ""master"" are incapable of fully expressing her meaning to me.",POSITIVE,0.987024188041687,0.974048376083374
8,Albedo,Sucrose,"
Sucrose? I think I more or less understand why she is so dedicated to her research in bio-alchemy... Either way, I'm happy to see her succeed more and more in her endeavors.

Working with Sucrose on alchemy research is quite pleasant, but she has some... stubborn qualities in regards to certain aspects unrelated to research. For example, I have told her numerous times to just call me ""Albedo"" since we are hardly generations apart, but she insists on addressing me in an excessively formal manner. *sigh* ...Whatever she prefers, I guess.",POSITIVE,0.9285317063331604,0.8570634126663208
9,Albedo,Traveler,"I am Albedo, Chief Alchemist of the Knights of Favonius. You carry the aura of the stars, interesting... I would like to study you, if you do not mind. I'm certain we will have many opportunities to be alone in the future.

You... want to accompany me while I experiment? I'm honored.  Oh, don't be nervous. My experiments may be dangerous, but no one gets hurt... most of the time.

Would you oblige me by serving as my assistant? After observing so many experiments, you surely know a good deal about alchemy by now. Relax, we will work together. I don't think you will have any problems. I have faith in my ability to instruct you, and even more faith in your exceptional talents.",POSITIVE,0.9995930790901184,0.9991861581802368
10,Albedo,Xingqiu,"
Oh, Xingqiu? I find his written works quite interesting. The  Yae Publishing House  in  Inazuma  has been asking that I cooperate with a different author for greater royalties. Hmph, do I seem the type to be swayed by a few extra Mora?",POSITIVE,0.9872318506240845,0.974463701248169
11,Alhaitham,Alhaitham,"
Rather than lacing my words with rhetoric, I prefer speaking factually.

Oh? You're concerned about all the rumors you've heard about me?  Don't bother, because I don't care whether you believe those rumors. Just don't throw extra trouble my way, and we'll be fine.

Most people are wary of interacting with me. Perhaps they're afraid, or maybe they think I'm difficult to get along with. I hope to keep things this way.

I've never been interested in social interactions, and as you can see, my life is more comfortable than most. I'd say this is proof enough that being social is not one of life's necessities.

Every person should have something that they believe in and hold on to from beginning to end. Otherwise, it's easy to succumb to the vicissitudes of life and find yourself being led astray.

Once order is disrupted, the consequences spread like wildfire. I'd like to avoid such a scenario, so I can keep my life intact and uninterrupted.

I'll occasionally go to the tavern for a drink after work.  That's not what you needed to know about? Huh, I was under the impression that sharing what you do in your free time is more personal than telling someone your thoughts or opinions. After all, you can get those from anybody on the Message Board.",POSITIVE,0.8923466205596924,0.7846932411193848
12,Alhaitham,Cyno,"
The hivemind case certainly added to the matra's workload, but my conscience is clear. The root cause of what ultimately transpired actually has nothing to do with me at all. I'm sure Cyno appreciates that, as he hasn't once approached me about the incident.",POSITIVE,0.9930993318557739,0.9861986637115479
